numeroConcursante,anio,nombre,dni,fechapresentacion,temaPresentacion,puntaje
1,1997,Hermine,68489753,11/21/2019,Let Fury Have the Hour,66
2,1997,Christian,85166061,10/28/2020,Un Piede in paradiso,95
3,1998,Dre,66178337,3/18/2020,Flawless,62
4,1988,Hasty,49396312,2/4/2020,Storefront Hitchcock,32
5,1998,Bathsheba,77783403,12/4/2019,"White Darkness, The",41
6,1997,Julio,50188040,5/26/2020,After Office Hours,6
7,2000,Gustave,83143980,9/26/2020,Chicken with Plums (Poulet aux prunes),28
8,1981,Julia,88923008,1/21/2020,Highly Dangerous,6
9,1981,Mauricio,86355190,12/5/2019,"Lady and the Duke, The (Anglaise et le duc, L')",95
10,1981,Dyan,65314319,4/13/2020,Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese),76
